stop_point_id,lat,lon,name,stop_point_type
StopPoint:node:3711605445,10.1487713,76.229096,Old Bus Stand,Unknown
StopPoint:node:3736262611,9.9706411,76.31795009999999,Vyttila Bus Stop,Platform
StopPoint:node:3744952958,9.9680056,76.3129864,Janatha Junction,StopPosition
StopPoint:node:3744952959,9.9680849,76.3129701,Janatha Junction,StopPosition
StopPoint:node:3813525947,10.0397534,76.30073209999999,stop,Unknown
StopPoint:node:3842288158,10.0096153,76.3037762,Mamangalam,Unknown
StopPoint:node:3844271357,10.1498479,76.2348281,Chendamangalam Kavala,Unknown
StopPoint:node:3846966457,10.1263087,76.3293535,,Unknown
StopPoint:node:3864767757,10.0212159,76.3346249,NGO Quarters Bus Stop,Unknown
StopPoint:node:3870727313,10.0145846,76.2277549,Valappu,Platform
StopPoint:node:3870727314,10.0207973,76.2248102,Thekkan Malippuram,Platform
StopPoint:node:3870727315,10.025438399999999,76.2236369,Perumalppadi,Platform
StopPoint:node:3886536252,9.9833176,76.274318,High Court Junction,Platform
StopPoint:node:3996656188,9.950291799999999,76.2921288,Thevara Junction,Unknown
StopPoint:node:3996661158,9.9591775,76.28900829999999,Ravipuram,Platform
StopPoint:node:4021153223,10.110229799999999,76.3493897,Aluva,StopPosition
StopPoint:node:4102699490,9.9689597,76.4226673,പുത്തൻകുരിശ്,Platform
StopPoint:node:4102699591,9.9793518,76.4762765,"Medical Mission, കോലഞ്ചേരി",Platform
StopPoint:node:4102711889,9.9551555,76.3960273,Panikkarupadi,Platform
StopPoint:node:4118630290,10.1684934,76.3402155,poikkattussery bus stop,Unknown
StopPoint:node:4118630691,10.175242599999999,76.3304103,Priya Hospital Bus Stop,Platform
StopPoint:node:4118630889,10.178728099999999,76.3302319,Kurumassery Aluva Bus Stop,Platform
StopPoint:node:4122530889,10.188161599999999,76.328169,moozhikulam bus stop,Unknown
StopPoint:node:4270131792,10.1308404,76.3902997,"Thettaly Bus Stop , Chowara",Unknown
StopPoint:node:4270140391,10.1319073,76.39943869999999,"Kaipra bus Stop , Sreemoolanagaram",Unknown
StopPoint:node:4279628189,10.1903408,76.4764861,"Plappilly Kavala Bus Stop, Neeleeswaram Mundangamattom Road",Unknown
StopPoint:node:4290205591,10.1222049,76.3667615,Gandhipuram Bus Stop,Unknown
StopPoint:node:4290219991,10.1857337,76.39740739999999,Nayathode Bus Stop,Unknown
StopPoint:node:4291964894,10.0811722,76.3482038,Kunnatheri Junction,Unknown
StopPoint:node:4291964895,10.1282269,76.372571,Kondotty Bus Stop,Unknown
StopPoint:node:4292013891,10.1278731,76.3693424,Purayar Bus Stop,Unknown
StopPoint:node:4292039789,10.0090933,76.31688799999999,"Chembumukku Bus Stop , Kakkanad",Unknown
StopPoint:node:4300226389,10.1100516,76.3724534,"Thottumugham , Aluva",Unknown
StopPoint:node:4332184553,9.9499059,76.33172689999999,Petta Bus Stop,Platform
StopPoint:node:4351633724,10.1775036,76.3033311,Aattupuram,Platform
StopPoint:node:4351633725,10.1768565,76.30660999999999,Ayroor School,Platform
StopPoint:node:4351633726,10.177061499999999,76.309303,Oozhan Kavala,Platform
StopPoint:node:4354393904,10.1780796,76.2109011,Andipillikavu,Unknown
StopPoint:node:4354393905,10.1787139,76.2086774,Madaplathuruth,Unknown
StopPoint:node:4361725219,10.016383,76.3023875,Edappally High School,Unknown
StopPoint:node:4419870996,10.1185586,76.3433527,പറവൂര്‍ കവല,Platform
StopPoint:node:4434143093,10.1534744,76.3400046,Chengamanad,Unknown
StopPoint:node:4434161789,10.1668326,76.461265,Onampilly,Unknown
StopPoint:node:4434161890,10.1534736,76.3404527,Chegamanad,Unknown
StopPoint:node:4434161990,10.1535484,76.340413,,Unknown
StopPoint:node:4434162289,10.1559262,76.330283,Palapprassery,Unknown
StopPoint:node:4437337990,10.1567922,76.32651729999999,Chunkam Bus Stop,Unknown
StopPoint:node:4471324994,10.0228068,76.34114149999999,Mavelipuram Junction Bus Stop,Unknown
StopPoint:node:4471324995,10.0230524,76.3411764,Mavelipuram Junction Bus Stop,Unknown
StopPoint:node:4473580196,9.9073744,76.36663999999999,"Valiyakulam, Udayamperoor",Unknown
StopPoint:node:4548818893,10.0550777,76.3227052,HMT Junction,Unknown
StopPoint:node:4548830490,10.054534799999999,76.32199659999999,HMT Junction,Unknown
StopPoint:node:4561240974,9.9717986,76.2822067,General hospital,Platform
StopPoint:node:4639553292,9.960856399999999,76.2428762,Chirattapalam,Platform
StopPoint:node:4639553293,9.9633006,76.2431368,,Unknown
StopPoint:node:4648279091,9.96682,76.31931689999999,,Platform
StopPoint:node:4660701152,10.1890702,76.2015464,Moothakunnam,Unknown
StopPoint:node:4665138938,10.1452796,76.2267225,KMK Jn to Aluva,Platform
StopPoint:node:4665138939,10.144698,76.22792919999999,KMK Jn,Platform
StopPoint:node:4667905209,10.1845758,76.19397529999999,tharayil kavala,Platform
StopPoint:node:4675300271,10.174714999999999,76.2999907,shap padi,Platform
StopPoint:node:4694147800,10.182976199999999,76.1737393,Munambam Ferry,Platform
StopPoint:node:4695161877,10.0804967,76.33918899999999,Ambattukavu,Unknown
StopPoint:node:4708279359,10.0622109,76.28810469999999,Cheranelloor Signal,Unknown
StopPoint:node:4708279361,10.1144824,76.2598052,Naalam Mile,Unknown
StopPoint:node:4708279363,10.1218792,76.2546248,,Unknown
StopPoint:node:4708279366,10.1274239,76.2434083,KandaKarnanVeli,Unknown
StopPoint:node:4708279367,10.133788299999999,76.2402982,Vazhikulangara,Unknown
StopPoint:node:4708279877,10.112461399999999,76.2601715,Kochal,Unknown
